ingested_at_utc,file_name,source_format,encoding,delimiter,table_name,source_row_count,max_column_count,loaded_row_count,metadata_rows,data_like_rows,footer_rows,schema_drift_status,schema_drift_detail,error
2026-03-25T17:32:39.673154+00:00,22541-01-01-4.csv,csv,iso-8859-1,;,raw_22541_01_01_4,560,14,560,7,539,11,ok,"Observed max columns 14 within [14, 16]",
2026-03-25T17:32:40.640571+00:00,22542-01-02-4.csv,csv,iso-8859-1,;,raw_22542_01_02_4,580,10,580,9,540,27,ok,"Observed max columns 10 within [10, 12]",
2026-03-25T17:32:41.560098+00:00,23111-01-04-4.csv,csv,iso-8859-1,;,raw_23111_01_04_4,598,20,598,8,539,42,ok,"Observed max columns 20 within [20, 22]",
